Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Korean_Steam,English_Steam,Simplified Chinese_Steam
Chapter 5-1,注釈,,,,,,,
Dialog.Chapter5-1-1,那由多,「――――この地下アジトは制圧しました。無駄な抵抗はせず直ちに投降しなさい」,「――――この地下アジトは制圧しました。無駄な抵抗はせず直ちに投降しなさい」,「這座地下據點已經被我完全制壓了。別再做無謂的抵抗，請您立刻投降吧。」,"""―――― this underground hideout has been overrun. Do not resist in vain and surrender immediately.""",「――――이 지하 아지트는 제압했습니다. 쓸데없는 저항은 하지 말고 즉시 투항하십시오」,"""I have conquered this underground hideout. Please surrender without further resistance.""",「这座地下据点已经被我完全制压了。别再做无谓的抵抗，请您立刻投降吧。」
,地下アジト,,,,,,,
Dialog.Chapter5-1-2,,「このアジトの最高責任者はあなたのようですので私が連行します」,「このアジトの最高責任者はあなたのようですので私が連行します」,「看來你是這裡的最高負責人，就由我親自押送你吧。」,"""Since you seem to be the chief executive of this hideout, I will bring you in myself.""",「이 아지트의 최고 책임자는 당신인 것 같으니 제가 연행하겠습니다」,"""And since you are the one in charge here, you will be coming with me.""",「看来你是这里的最高负责人，就由我亲自押送你吧。」
,,,,,,,,
Dialog.Chapter5-1-3,SEL,……わかった、従う,……わかった、従う,……我明白了，我會照你説的做的。,"...... Okay, I'll comply.","……알겠다, 따르겠다",...All right.,……我明白了，我会照你说的做的。
,,,,,,,,
Dialog.Chapter5-1-4,那由多,「話が分かるようで助かります」,「話が分かるようで助かります」,「你願意配合就太好了。」,"""It helps that you seem to know what you're talking about.""",「말이 통하는 것 같아 다행입니다」,"""I'm glad we have an understanding.""",「你愿意配合就太好了。」
,,,,,,,,
Dialog.Chapter5-1-5,那由多,「……そういえばエレナは何をやっているのでしょうか？ここは本来彼女の管轄なはずですが」,「……そういえばエレナは何をやっているのでしょうか？ここは本来彼女の管轄なはずですが」,「……話說回來，艾蓮娜現在到底在做什麼？按理說這裡本來應該是她的管轄區域。」,"""......So, what is Erena doing here? This is supposedly her jurisdiction.""",「……그러고 보니 엘레나는 뭘 하고 있는 겁니까? 여기는 원래 그녀의 관할일 텐데요」,"""What was Elena doing, anyway? Wasn't this area under her jurisdiction?""",「……话说回来，艾莲娜现在到底在做什么？按理说这里本来应该是她的管辖区域。」
,,,,,,,,
Dialog.Chapter5-1-6,京,「あ――…。エレナは捕まっちゃってね…まあ、油断してたんじゃないかな」,「あ――…。エレナは捕まっちゃってね…まあ、油断してたんじゃないかな」,「啊——……艾蓮娜被抓走了啦……嗯，大概是太大意了吧。」,"""Ah――.... Erena got caught... well, I guess she let her guard down.""","「아――…. 엘레나는 잡혀버려서… 뭐, 방심했던 거 아니려나」","""Ahhh... She was captured. Well, she was careless.""",「啊——……艾莲娜被抓走了啦……嗯，大概是太大意了吧。」
,,,,,,,,
